max_solver_fe_controller,max_solver_fe_problem,popsize_controller,popsize_problem,problem_index,score
400.0,400.0,16.0,16.0,1.0,-0.955135061245733218981968093431
400.0,400.0,16.0,16.0,2.0,-156.489328434500464481970993802
400.0,400.0,16.0,16.0,3.0,96.0537058435991752958216238767
400.0,400.0,16.0,16.0,4.0,-0.529983587625576402224680805375
400.0,400.0,16.0,16.0,5.0,-1.0003887835367650804840877754
400.0,400.0,16.0,16.0,6.0,-28.511972304924647403367998777
400.0,400.0,16.0,16.0,7.0,0.0153517491799321764006647228484
400.0,400.0,16.0,16.0,8.0,4039.60856986989438155433163047
400.0,400.0,16.0,16.0,9.0,-67.4468396497742332940106280148
400.0,400.0,16.0,16.0,10.0,-4.99410992824296684489127073903
400.0,400.0,16.0,16.0,11.0,-4.26778841045391832409450216801
400.0,400.0,16.0,16.0,12.0,14.2756663688777898357784579275
6400.0,400.0,16.0,16.0,1.0,-2.9774908816663776534028329479
6400.0,400.0,16.0,16.0,2.0,-487.832106052218705372069962323
6400.0,400.0,16.0,16.0,3.0,119.68815908506454093185311649
6400.0,400.0,16.0,16.0,4.0,-0.453907182947610399192939212298
6400.0,400.0,16.0,16.0,5.0,-1.00199041323919701973466089839
6400.0,400.0,16.0,16.0,6.0,-83.5695942139163605588692007586
6400.0,400.0,16.0,16.0,7.0,0.0134082872742236486329758804459
6400.0,400.0,16.0,16.0,8.0,3972.71392097871830628719180822
6400.0,400.0,16.0,16.0,9.0,-118.66989214863754398265882628
6400.0,400.0,16.0,16.0,10.0,-8.09244832397515345689953392139
6400.0,400.0,16.0,16.0,11.0,-11.2174616747172120057030042517
6400.0,400.0,16.0,16.0,12.0,12.9738924075786421497014089255
400.0,6400.0,16.0,16.0,1.0,-0.55950639664912671378260711208
400.0,6400.0,16.0,16.0,2.0,-91.4951504927508523223878000863
400.0,6400.0,16.0,16.0,3.0,76.0408651953141401236280216835
400.0,6400.0,16.0,16.0,4.0,-0.408369761205600589892839025197
400.0,6400.0,16.0,16.0,5.0,-1.00000380331564686642309425224
400.0,6400.0,16.0,16.0,6.0,-15.9284268824402595043920882745
400.0,6400.0,16.0,16.0,7.0,0.00484251098796827181974800069497
400.0,6400.0,16.0,16.0,8.0,4243.25195862845248484518378973
400.0,6400.0,16.0,16.0,9.0,-40.2045266795680049654038157314
400.0,6400.0,16.0,16.0,10.0,-3.90873420965469398069558337738
400.0,6400.0,16.0,16.0,11.0,-3.27322771052302652350363132427
400.0,6400.0,16.0,16.0,12.0,13.2897749093345911575170248398
6400.0,6400.0,16.0,16.0,1.0,-5.76971843353133290759350244911e-12
6400.0,6400.0,16.0,16.0,2.0,-9.4531066783640943513239962955e-10
6400.0,6400.0,16.0,16.0,3.0,120.889330466831239618841209449
6400.0,6400.0,16.0,16.0,4.0,-0.0103471890774212288421907146585
6400.0,6400.0,16.0,16.0,5.0,-1.00000000000000421884749357559
6400.0,6400.0,16.0,16.0,6.0,-0.200000000012515277703073479643
6400.0,6400.0,16.0,16.0,7.0,0.0955972012932407438912107977558
6400.0,6400.0,16.0,16.0,8.0,5140.59624247330521029653027654
6400.0,6400.0,16.0,16.0,9.0,-45.3078125705053267324728949461
6400.0,6400.0,16.0,16.0,10.0,-3.29583385464639189166291544097
6400.0,6400.0,16.0,16.0,11.0,-0.0708609994074605592517812624465
6400.0,6400.0,16.0,16.0,12.0,18.5550279298532956318013020791
1600.0,1600.0,8.0,8.0,1.0,-0.0491054425741613079225977855913
1600.0,1600.0,8.0,8.0,2.0,-8.04543571135059742971407104051
1600.0,1600.0,8.0,8.0,3.0,122.008829196252946758249890991
1600.0,1600.0,8.0,8.0,4.0,-0.0353736840517854464471803055403
1600.0,1600.0,8.0,8.0,5.0,-1.00000073876891981683456833707
1600.0,1600.0,8.0,8.0,6.0,-2.30676812025761357460851286305
1600.0,1600.0,8.0,8.0,7.0,0.0800844154886539150162150235701
1600.0,1600.0,8.0,8.0,8.0,5248.926687062559722107835114
1600.0,1600.0,8.0,8.0,9.0,-49.1012853604048515876456804108
1600.0,1600.0,8.0,8.0,10.0,-4.873063458057119490263175976
1600.0,1600.0,8.0,8.0,11.0,-1.01677296203837363997024567652
1600.0,1600.0,8.0,8.0,12.0,16.8314287667754598487590556033
1600.0,1600.0,128.0,8.0,1.0,-16.3847600528275165743252728134
1600.0,1600.0,128.0,8.0,2.0,-2684.47908695661544697941280901
1600.0,1600.0,128.0,8.0,3.0,-5.07358100039128867564386382583
1600.0,1600.0,128.0,8.0,4.0,-3.24606720234285806014895570115
1600.0,1600.0,128.0,8.0,5.0,-1.02671486736513406512472101895
1600.0,1600.0,128.0,8.0,6.0,-499.845612517079473491321550682
1600.0,1600.0,128.0,8.0,7.0,0.000164398140636536034065243172542
1600.0,1600.0,128.0,8.0,8.0,3061.9719131150322937173768878
1600.0,1600.0,128.0,8.0,9.0,-121.472220483570751525803643744
1600.0,1600.0,128.0,8.0,10.0,-20.5502419598854864091208582977
1600.0,1600.0,128.0,8.0,11.0,-57.2730688241178143016441026703
1600.0,1600.0,128.0,8.0,12.0,7.20034765941107846032309680595
1600.0,1600.0,8.0,128.0,1.0,-4.85131421785956895575964153977
1600.0,1600.0,8.0,128.0,2.0,-794.839321454111541243037208915
1600.0,1600.0,8.0,128.0,3.0,123.615382392626486307563027367
1600.0,1600.0,8.0,128.0,4.0,-0.388922222167581432827887510939
1600.0,1600.0,8.0,128.0,5.0,-1.00311078382716356571791038732
1600.0,1600.0,8.0,128.0,6.0,-124.33691966730137323793314863
1600.0,1600.0,8.0,128.0,7.0,0.0414731521112604167855764103479
1600.0,1600.0,8.0,128.0,8.0,3581.96391320180691764107905328
1600.0,1600.0,8.0,128.0,9.0,-136.713269798269919874655897729
1600.0,1600.0,8.0,128.0,10.0,-7.2771343671134216535278937954
1600.0,1600.0,8.0,128.0,11.0,-17.6325501630863143986971408594
1600.0,1600.0,8.0,128.0,12.0,11.7383199611801174455649743322
1600.0,1600.0,128.0,128.0,1.0,-0.00670973781948330447177930579983
1600.0,1600.0,128.0,128.0,2.0,-1.09932344434414952516476660094
1600.0,1600.0,128.0,128.0,3.0,83.6570404299878873644047416747
1600.0,1600.0,128.0,128.0,4.0,-0.0531335371031035688660359994628
1600.0,1600.0,128.0,128.0,5.0,-1.00002508279237267707628689095
1600.0,1600.0,128.0,128.0,6.0,-0.200681158769523998453010449339
1600.0,1600.0,128.0,128.0,7.0,0.200870098775619371211931252219
1600.0,1600.0,128.0,128.0,8.0,4579.08858103903094161069020629
1600.0,1600.0,128.0,128.0,9.0,-34.2399581924921534437089576386
1600.0,1600.0,128.0,128.0,10.0,-1.34945733483514418438176107884
1600.0,1600.0,128.0,128.0,11.0,-0.952309481875843300002770774881
1600.0,1600.0,128.0,128.0,12.0,20.2277552646618907772335660411
