max_solver_fe_controller,max_solver_fe_problem,popsize_problem,problem_index,score
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t65d11xx_150cut.lop,932341.53
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-tiw56r72_150cut.lop,666528.06
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t75n11xx_150cut.lop,410473.96
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t75k11xx_150cut.lop,364551.065
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t70f11xx_150cut.lop,1305904.1
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-tiw56r54_150cut.lop,225710.575
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-be75np_150cut.lop,1831009.635
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-be75oi_150cut.lop,530586.59
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_0.pfsp,-97308.445
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_1.pfsp,-92797.62
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_1.pfsp,-75508.51
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai20_20_0.pfsp,-34661.04
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_0.pfsp,-71262.6
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_2.pfsp,-91137.145
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai20_20_1.pfsp,-32586.515
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_2.pfsp,-70490.48
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai80a.qap,-15168965.72
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai100a.qap,-23495141.9
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko90.qap,-130862.49
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai100b.qap,-1572821779.725
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko100a.qap,-171624.99
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko100b.qap,-173593.92
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai60a.qap,-8171650.75
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai80b.qap,-1077165893.265
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroE100.tsp,-93126.9115523936
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/ch130.tsp,-28472.2069450868
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/eil101.tsp,-2021.58676877067
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/eil76.tsp,-1408.53136976513
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroA100.tsp,-92219.7815135879
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/st70.tsp,-1919.97179256492
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/rat99.tsp,-4563.08422466337
400.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroB100.tsp,-91164.8703141807
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t65d11xx_150cut.lop,929925.85
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-tiw56r72_150cut.lop,663845.41
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t75n11xx_150cut.lop,409639.575
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t75k11xx_150cut.lop,362881.56
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t70f11xx_150cut.lop,1303672.495
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-tiw56r54_150cut.lop,224104.48
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-be75np_150cut.lop,1830664.4
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-be75oi_150cut.lop,528970.1
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_0.pfsp,-97268.135
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_1.pfsp,-92620.2
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_1.pfsp,-75563.97
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai20_20_0.pfsp,-34677.275
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_0.pfsp,-71521.99
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_2.pfsp,-90911.545
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai20_20_1.pfsp,-32567.47
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_2.pfsp,-70436.985
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai80a.qap,-15168970.77
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai100a.qap,-23492334.96
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko90.qap,-130862.06
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai100b.qap,-1576739228.0
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko100a.qap,-171639.68
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko100b.qap,-173766.96
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai60a.qap,-8176184.3
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai80b.qap,-1082396778.52
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroE100.tsp,-94249.2595532245
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/ch130.tsp,-28744.3308537279
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/eil101.tsp,-2031.58296216101
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/eil76.tsp,-1429.96781703012
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroA100.tsp,-92799.4639667654
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/st70.tsp,-1934.85630945795
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/rat99.tsp,-4619.55209741218
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroB100.tsp,-92035.513256398
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t65d11xx_150cut.lop,986400.56
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-tiw56r72_150cut.lop,706745.815
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t75n11xx_150cut.lop,435024.18
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t75k11xx_150cut.lop,387542.485
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t70f11xx_150cut.lop,1393660.785
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-tiw56r54_150cut.lop,237668.645
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-be75np_150cut.lop,1933594.025
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-be75oi_150cut.lop,558042.615
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_0.pfsp,-94442.14
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_1.pfsp,-89522.2
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_1.pfsp,-72762.025
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai20_20_0.pfsp,-34300.075
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_0.pfsp,-68855.835
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_2.pfsp,-87394.3
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai20_20_1.pfsp,-32098.71
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_2.pfsp,-67867.5
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai80a.qap,-15042472.6
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai100a.qap,-23337825.64
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko90.qap,-129177.32
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai100b.qap,-1517834477.91
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko100a.qap,-169566.56
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko100b.qap,-171522.62
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai60a.qap,-8086657.93
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai80b.qap,-1038272123.355
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroE100.tsp,-68635.7810303371
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/ch130.tsp,-21582.9440858231
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/eil101.tsp,-1551.10040542641
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/eil76.tsp,-1093.97407326864
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroA100.tsp,-68344.2877059758
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/st70.tsp,-1453.21987901805
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/rat99.tsp,-3414.4537816567
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroB100.tsp,-67226.481650615
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t65d11xx_150cut.lop,985481.475
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-tiw56r72_150cut.lop,705603.57
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t75n11xx_150cut.lop,435382.985
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t75k11xx_150cut.lop,387096.97
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-t70f11xx_150cut.lop,1390966.625
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-tiw56r54_150cut.lop,237339.215
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-be75np_150cut.lop,1931242.59
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/lop/N-be75oi_150cut.lop,557016.63
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_0.pfsp,-94519.95
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_1.pfsp,-89641.175
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_1.pfsp,-72796.32
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai20_20_0.pfsp,-34343.41
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_0.pfsp,-69000.21
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_10_2.pfsp,-87501.935
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai20_20_1.pfsp,-32165.815
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/pfsp/tai50_5_2.pfsp,-68057.02
