max_solver_fe_controller,max_solver_fe_problem,popsize_problem,problem_index,score
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A5_cut40_tai100a.qap,-3251756.35
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B6_cut40_tai80b_1.qap,-160186778.095
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C7_cut40_sko90_1.qap,-15920.79
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C5_cut40_sko72.qap,-17097.32
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A4_cut40_tai80a.qap,-3527262.05
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A7_cut40_tai100a_1.qap,-3503832.09
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C4_cut40_sko64.qap,-15976.64
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A6_cut40_tai80a_1.qap,-3499010.65
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C1_cut40_sko42.qap,-15616.66
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B4_cut40_tai80b.qap,-208770992.65
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B5_cut40_tai100b.qap,-234429022.89
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B7_cut40_tai100b_1.qap,-116185551.49
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C6_cut40_sko81_1.qap,-16262.22
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A1_cut40_tai40a.qap,-3456571.93
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A3_cut40_tai60a.qap,-3449312.0
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B2_cut40_tai50b.qap,-332161817.91
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B3_cut40_tai60b.qap,-261340226.985
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B1_cut40_tai40b.qap,-810199612.255
