max_solver_fe_controller,max_solver_fe_problem,popsize_problem,problem_index,score
400.0,400.0,8.0,1.0,-0.2045615739287837
400.0,400.0,8.0,2.0,-33.51536827249195
400.0,400.0,8.0,3.0,67.10625382073475
400.0,400.0,8.0,4.0,-0.05227193932804068
400.0,400.0,8.0,5.0,-1.0001283364977431
400.0,400.0,8.0,6.0,-4.978862266589671
400.0,400.0,8.0,7.0,0.1619122495925093
400.0,400.0,8.0,8.0,3086.7743786532214
400.0,400.0,8.0,9.0,-35.959086442351584
400.0,400.0,8.0,10.0,-2.5752205986170282
400.0,400.0,8.0,11.0,-1.7098905555075496
400.0,400.0,8.0,12.0,16.423902648687246
6400.0,400.0,8.0,1.0,-0.2765372843530802
6400.0,400.0,8.0,2.0,-45.30786866840867
6400.0,400.0,8.0,3.0,67.0114442786026
6400.0,400.0,8.0,4.0,-0.053985749604987435
6400.0,400.0,8.0,5.0,-1.0002625602127768
6400.0,400.0,8.0,6.0,-3.8361255272467556
6400.0,400.0,8.0,7.0,0.3306684993979882
6400.0,400.0,8.0,8.0,3179.46762755728
6400.0,400.0,8.0,9.0,-45.91864414979864
6400.0,400.0,8.0,10.0,-2.0812511116491823
6400.0,400.0,8.0,11.0,-1.8942760059531978
6400.0,400.0,8.0,12.0,17.348421784299873
400.0,6400.0,8.0,1.0,-4.2878392827897705e-09
400.0,6400.0,8.0,2.0,-7.025195691854011e-07
400.0,6400.0,8.0,3.0,67.27666666666667
400.0,6400.0,8.0,4.0,-0.010839274971881687
400.0,6400.0,8.0,5.0,-1.0000000000001754
400.0,6400.0,8.0,6.0,-3.183954682163071e-08
400.0,6400.0,8.0,7.0,0.21658883160706904
400.0,6400.0,8.0,8.0,3224.826276038676
400.0,6400.0,8.0,9.0,-25.094237705365096
400.0,6400.0,8.0,10.0,-2.473451377195966
400.0,6400.0,8.0,11.0,-0.4771406401546423
400.0,6400.0,8.0,12.0,16.851622990967552
6400.0,6400.0,8.0,1.0,-4.74505632618092e-26
6400.0,6400.0,8.0,2.0,-1.0502326112260793e-26
6400.0,6400.0,8.0,3.0,66.80666666666666
6400.0,6400.0,8.0,4.0,-0.004804530139182015
6400.0,6400.0,8.0,5.0,-1.0
6400.0,6400.0,8.0,6.0,-1.5
6400.0,6400.0,8.0,7.0,0.40535690878108754
6400.0,6400.0,8.0,8.0,3486.6753393060844
6400.0,6400.0,8.0,9.0,-22.334238578117283
6400.0,6400.0,8.0,10.0,-1.5074507851666479
6400.0,6400.0,8.0,11.0,-0.12218958629108152
6400.0,6400.0,8.0,12.0,20.11610541661894
