max_solver_fe_controller,max_solver_fe_problem,popsize_problem,problem_index,score
400.0,400.0,8.0,1.0,-0.19282794330413522
400.0,400.0,8.0,2.0,-31.592930230949484
400.0,400.0,8.0,3.0,66.8601072523335
400.0,400.0,8.0,4.0,-0.05734352165324099
400.0,400.0,8.0,5.0,-1.0001975571134185
400.0,400.0,8.0,6.0,-3.1799898100983714
400.0,400.0,8.0,7.0,0.1750394958685264
400.0,400.0,8.0,8.0,3059.669608238072
400.0,400.0,8.0,9.0,-35.3255444424581
400.0,400.0,8.0,10.0,-2.7797039527977843
400.0,400.0,8.0,11.0,-1.6871576061755615
400.0,400.0,8.0,12.0,16.324680320028648
1200.0,400.0,8.0,1.0,-0.31736239795839194
1200.0,400.0,8.0,2.0,-51.99665528150298
1200.0,400.0,8.0,3.0,66.83433472242565
1200.0,400.0,8.0,4.0,-0.06991037965493165
1200.0,400.0,8.0,5.0,-1.000330822431756
1200.0,400.0,8.0,6.0,-6.007414447119747
1200.0,400.0,8.0,7.0,0.2824249281667784
1200.0,400.0,8.0,8.0,3121.941341849046
1200.0,400.0,8.0,9.0,-44.020860903204294
1200.0,400.0,8.0,10.0,-3.0659724850576886
1200.0,400.0,8.0,11.0,-2.150007284164388
1200.0,400.0,8.0,12.0,16.57794473502864
400.0,1200.0,8.0,1.0,-0.0009394623961724486
400.0,1200.0,8.0,2.0,-0.15392151898889422
400.0,1200.0,8.0,3.0,67.2414999963281
400.0,1200.0,8.0,4.0,-0.014941057447797628
400.0,1200.0,8.0,5.0,-1.0000000773924214
400.0,1200.0,8.0,6.0,-1.0786005893174513
400.0,1200.0,8.0,7.0,0.20053701915595581
400.0,1200.0,8.0,8.0,3197.48795612097
400.0,1200.0,8.0,9.0,-26.03025128639377
400.0,1200.0,8.0,10.0,-2.5495088594666777
400.0,1200.0,8.0,11.0,-0.4632505035027694
400.0,1200.0,8.0,12.0,17.107338741892082
1200.0,1200.0,8.0,1.0,-0.000705514744727758
1200.0,1200.0,8.0,2.0,-0.11559153577619569
1200.0,1200.0,8.0,3.0,66.97516665575428
1200.0,1200.0,8.0,4.0,-0.022282195947257322
1200.0,1200.0,8.0,5.0,-1.0000001391532536
1200.0,1200.0,8.0,6.0,-1.1529532384163292
1200.0,1200.0,8.0,7.0,0.3926441782654336
1200.0,1200.0,8.0,8.0,3330.84943566975
1200.0,1200.0,8.0,9.0,-27.92860619774407
1200.0,1200.0,8.0,10.0,-2.5407269274074107
1200.0,1200.0,8.0,11.0,-0.3402991930894178
1200.0,1200.0,8.0,12.0,18.50904272669777
