Instances,Source,feature_f1,feature_f2,feature_f3,feature_f4,feature_f5,feature_f6,feature_f7,feature_f8,feature_f9,feature_f10,feature_f11,algo_RandomSearch,algo_DE,algo_PSO,algo_CMA,algo_EDA,algo_TwoPointsDE,algo_Powell,algo_BFGS,algo_RecES,algo_NelderMead,algo_OnePlusOne,algo_OnePlusLambda
_1_,none,0.002561967807701903687700450973352417,-157.428535184055618856291403062641620636,0.106513549998290962816938076684891712,12.257982575734642338716184895019978285,115.083785827543294999486533924937248230,-1.121067878827237240813019525376148522,0.999999999926906912861568343942053616,1.000005327937014243389057810418307781,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.123000000000000220268248085631057620,-14.3078,-2.07104,-27.1903,-4.23644e-07,-8.21501,-4.07542,-0.0,-0.0,-13.0827,-0.0,-0.0,-0.0
_2_,none,-0.005731498714548033390769887773785740,-28373.547969248327717650681734085083007812,80.005668526902027792857552412897348404,1650.776110481760952097829431295394897461,20.633239380115735883691741037182509899,-0.884420562205619376072718296200037003,0.999999999972197017861219592305133119,1.000004524400423422392236716405022889,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.116999999999999992894572642398998141,-2686.27,-444.141,-4148.8,-0.000361245,-897.814,-281.22,-0.0,-0.0,-2089.2,-0.0,-0.0,-0.0
_3_,none,0.211277502770893521599759878881741315,-271.425641972607422758301254361867904663,8.553198422135013245792833913583308458,20.116790960108403396588983014225959778,2.351961215823978879058131497004069388,0.182413544184965248362573220219928771,0.580906268807657943931133104342734441,2.207493172566861616701316961552947760,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.115999999999999658939486835151910782,-10.9977,101.959,-17.35,123.459,-11.688,49.4213,122.618,-22.0,14.6759,-18.6965,122.533,122.665
_4_,none,0.829435004172583756343328786897473037,2.980153632613740111167999202734790742,1.030392901597431576377061901439446956,1.323561531493851584073695448751095682,1.284521204913113168188942836422938854,0.662347614145864183043954653840046376,0.959635440984147769505341329931979999,1.793339646875752979582330226548947394,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.121000000000000440536496171262115240,-3.98572,-0.499049,-4.99273,-1.55411e-05,-4.38793,-0.339509,-1.12044e-05,-6.2634,-1.56143,-6.2634,-1.16144e-06,-7.07572e-07
_5_,none,0.017397436275287447848825195251265541,-3.495012715845330575348270940594375134,0.000396828534881321420488275997229266,0.404170553782293107136780463406466879,1018.501741320511200683540664613246917725,-0.988186093578946822546527073427569121,0.750782024340938547446455686440458521,125.577091822242877583448716904968023300,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.122999999999999332089828385505825281,-1.01342,-1.00047,-1.06972,-1.00028,-1.01399,-1.01288,-1.0,-1.0,-1.01834,-1.0,-1.0,-1.0
_6_,none,0.035408614983410746646086408873088658,-5245.076134158603963442146778106689453125,32.600671285805120191980677191168069839,757.305672165544820018112659454345703125,23.229757004889908245104379602707922459,-0.920085305859658530991396219178568572,0.999999999990790477966129401465877891,2331920.759515420068055391311645507812500000,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.114999999999998436805981327779591084,-397.38,-72.902,-917.117,-2.40259e-05,-240.836,-70.812,-0.0,-0.0,-409.597,-0.0,-0.0,-0.0
_7_,none,-0.017189963255715534629075591510627419,0.000000000000134902706482469869883090,0.000000000000004412466223410846391511,0.000000000000056703908909851459705838,12.850842598862820764793468697462230921,-1.763324772722707489691629234584979713,-0.044207088385715964662381338712293655,178.699474769907482141206855885684490204,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.114999999999998436805981327779591084,1.29108e-06,0.00255202,3.3363e-08,0.00125655,0.000103833,0.00944341,2.15961e-06,-2.95387e-06,4.07348e-06,2.15961e-06,2.7425e-30,1.52129e-33
_8_,none,0.117399754161769620530719748785486445,2310.315636405718578316736966371536254883,51.518008999988246898737997980788350105,549.407413182032883014471735805273056030,10.664375891975138799239175568800419569,-0.888396823266518254058610182255506516,0.102292109088083504886412811174523085,162.594860175431563220627140253782272339,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.121000000000002216893335571512579918,1862.51,3445.96,1822.54,1133.99,835.25,4130.59,560.762,62.4497,1460.09,44.8881,3969.92,4810.84
_9_,none,-0.003411097764909110097164557373616844,-373.469872689260796505550388246774673462,0.612164572179309529609270157379796728,12.837625320900707848181809822563081980,20.970872710256141857598777278326451778,-1.187702920237105885803430282976478338,0.466128551277465552615808519476559013,2.509100354602072702192572251078672707,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.117000000000000881072992342524230480,-143.554,-112.747,-187.866,-2.98507,-209.645,-133.391,-0.0,-0.0,-147.138,-0.0,-0.0,-0.0
_10_,none,0.035319656643841956800144998851465061,-321.199753898936535279062809422612190247,1.385482094055636936857922592025715858,34.057323933276094862776517402380704880,24.581569173212606926881562685593962669,-0.999074331029443651885912913712672889,0.580889001382283609586920647416263819,3.856373739567446001785810949513688684,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.117000000000000881072992342524230480,-24.1151,-8.45341,-41.6492,-0.537218,-19.6845,-4.80156,-7.7467e-06,-2.35105,-15.6868,-1.71638,-0.358118,-2.09979e-05
_11_,none,0.002899106467391998620541926356963813,-669.989615101438971578318160027265548706,0.783599060918030332345551869366317987,54.550163855621448760757630225270986557,69.614891819437431763617496471852064133,-1.119204090362049708318181728827767074,0.999999999987091658937288229935802519,1.000001664172297521915311335760634392,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.128000000000000113686837721616029739,-64.8007,-13.3768,-99.2678,-0.0203731,-43.917,-14.8933,-0.0,-0.0,-53.2205,-0.0,-0.0,-0.0
_12_,none,0.016174262041650844246021279104752466,1.441644430476188398770887033606413752,0.000149812604908818573388670780666132,0.140352281612598744908737558034772519,936.852287549650895925879012793302536011,-1.082187324095929881195843336172401905,0.623556231192732290935509809060022235,2.583487114889819746821331136743538082,1.000000000000000000000000000000000000,0.000000000000000000000000000000000000,0.117999999999998550492819049395620823,7.03829,12.8869,5.21487,20.401,9.96021,12.8675,22.7183,22.7183,6.81585,22.7183,22.7183,22.7183
