Instances,algo_swaprandomrestart,algo_swaphalfrestart,algo_swapquarterestart,algo_swapsixthrestart,algo_exchangerandomrestart,algo_exchangehalfrestart,algo_exchangequarterestart,algo_exchangesixthrestart,algo_insertrandomrestart,algo_inserthalfrestart,algo_insertquarterestart,algo_insertsixthrestart
bier127.tsp,-518992,-476586,-521577,-505649,-187373,-174323,-193627,-197315,-143829,-149023,-139708,-140439
eil101.tsp,-2421.35,-2618.4,-2667.07,-2713.74,-859.028,-974.474,-935.882,-909.11,-741.67,-734.654,-814.026,-830.552
gr137.tsp,-457795,-481688,-467828,-491069,-131568,-143551,-145706,-136104,-93257,-102374,-100500,-98210
gr96.tsp,-278700,-274918,-305466,-287016,-93199,-90174,-96643,-99494,-64985,-67188,-73219,-63138
kroA100.tsp,-122310,-128863,-114020,-135285,-36483.9,-41708.3,-43316.3,-41746.8,-27612.8,-27360.5,-27741.5,-28768.6
kroB100.tsp,-121401,-124951,-130188,-125561,-42139.8,-47998.4,-44034.9,-42378.3,-28541.4,-28699.1,-29081.3,-26498.2
kroC100.tsp,-128582,-131136,-137172,-138491,-43425.9,-43457.9,-44166.2,-40869.2,-28798.2,-26445.6,-33077.8,-29919.5
kroD100.tsp,-123029,-118002,-131855,-121371,-39605.7,-48004.2,-46180.7,-38456.3,-27444.4,-31735.3,-28042.4,-28816.7
kroE100.tsp,-135912,-124988,-126897,-134042,-41405.5,-40005.9,-40971.5,-39058.3,-27669,-25819.7,-26429.6,-28664.1
lin105.tsp,-85740.8,-95014.7,-92834.3,-93105.7,-30050.4,-28024.6,-29216.7,-29575.7,-21099.3,-18856,-20017.8,-19660.1
pr107.tsp,-444204,-398851,-409343,-414976,-144995,-145051,-154343,-128139,-66679.5,-67650.5,-66659.5,-92573.2
pr124.tsp,-489511,-530613,-557711,-515389,-146260,-143940,-152394,-150003,-71216.2,-81075.3,-78332.4,-76473.8
pr136.tsp,-590279,-661066,-653232,-650818,-183596,-186703,-166219,-174646,-132386,-124694,-132143,-129973
pr144.tsp,-646079,-658884,-651401,-655175,-185254,-185205,-163547,-164622,-81821.3,-96297.8,-104275,-101000
rd100.tsp,-42216.8,-38169.8,-43044.7,-46478,-14134.5,-13075.2,-13420.9,-13485.4,-9517.55,-10421.6,-9813.19,-10350.5
