Instances,algo_RandomSearch,algo_DE,algo_PSO,algo_CMA,algo_EDA,algo_TwoPointsDE,algo_Powell,algo_BFGS,algo_RecES,algo_NelderMead,algo_OnePlusOne,algo_OnePlusLambda
_1_,-14.3078,-2.07104,-27.1903,-4.23644e-07,-8.21501,-4.07542,-0.0,-0.0,-13.0827,-0.0,-0.0,-0.0
_2_,-2686.27,-444.141,-4148.8,-0.000361245,-897.814,-281.22,-0.0,-0.0,-2089.2,-0.0,-0.0,-0.0
_3_,-10.9977,101.959,-17.35,123.459,-11.688,49.4213,122.618,-22.0,14.6759,-18.6965,122.533,122.665
_4_,-3.98572,-0.499049,-4.99273,-1.55411e-05,-4.38793,-0.339509,-1.12044e-05,-6.2634,-1.56143,-6.2634,-1.16144e-06,-7.07572e-07
_5_,-1.01342,-1.00047,-1.06972,-1.00028,-1.01399,-1.01288,-1.0,-1.0,-1.01834,-1.0,-1.0,-1.0
_6_,-397.38,-72.902,-917.117,-2.40259e-05,-240.836,-70.812,-0.0,-0.0,-409.597,-0.0,-0.0,-0.0
_7_,1.29108e-06,0.00255202,3.3363e-08,0.00125655,0.000103833,0.00944341,2.15961e-06,-2.95387e-06,4.07348e-06,2.15961e-06,2.7425e-30,1.52129e-33
_8_,1862.51,3445.96,1822.54,1133.99,835.25,4130.59,560.762,62.4497,1460.09,44.8881,3969.92,4810.84
_9_,-143.554,-112.747,-187.866,-2.98507,-209.645,-133.391,-0.0,-0.0,-147.138,-0.0,-0.0,-0.0
_10_,-24.1151,-8.45341,-41.6492,-0.537218,-19.6845,-4.80156,-7.7467e-06,-2.35105,-15.6868,-1.71638,-0.358118,-2.09979e-05
_11_,-64.8007,-13.3768,-99.2678,-0.0203731,-43.917,-14.8933,-0.0,-0.0,-53.2205,-0.0,-0.0,-0.0
_12_,7.03829,12.8869,5.21487,20.401,9.96021,12.8675,22.7183,22.7183,6.81585,22.7183,22.7183,22.7183
