['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed2_best.controller', '12', '20', [0.0130472, 0.875788, 0.997783]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed3_best.controller', '12', '20', [-0.147039, 0.540158, 0.745471]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed4_best.controller', '12', '20', [-0.0257611, 0.90289, 0.714409]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed5_best.controller', '12', '20', [0.189946, 0.728938, 0.975945]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed6_best.controller', '12', '20', [-0.13956, 0.61413, 0.854704]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed7_best.controller', '12', '20', [-0.0533828, 0.603924, 0.880248]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed8_best.controller', '12', '20', [-0.309541, 0.487747, 0.670216]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed9_best.controller', '12', '20', [0.242888, 0.576129, 0.944723]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed10_best.controller', '12', '20', [0.266279, 0.658168, 0.93653]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_12_seed11_best.controller', '12', '20', [0.215698, 0.706458, 0.965964]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_1_seed2_best.controller', '1', '20', [0.190293, 0.865066, 0.998946]]
