['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed11_best.controller', '0', '20', [0.0364107, 0.93597, 0.72597],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed2_best.controller', '0', '20', [0.0246533, 0.980301, 0.992587],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed2_best.controller', '0', '20', [0.0256055, 0.98036, 0.992499],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed2_best.controller', '0', '20', [0.0275576, 0.980422, 0.992484],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed2_best.controller', '0', '20', [0.0274647, 0.980487, 0.992474],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed2_best.controller', '0', '20', [0.03, 0.980478, 0.9924],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed2_best.controller', '0', '20', [0.025711, 0.980313, 0.992552],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed2_best.controller', '0', '20', [0.0342545, 0.980579, 0.99223],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed2_best.controller', '0', '20', [0.139083, 0.974812, 0.923807],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed2_best.controller', '0', '20', [0.138738, 0.97467, 0.923821],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed2_best.controller', '0', '20', [0.138124, 0.974436, 0.923739],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed2_best.controller', '0', '20', [0.138101, 0.974377, 0.92359],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed2_best.controller', '0', '20', [0.137168, 0.97416, 0.923799],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed2_best.controller', '0', '20', [0.138605, 0.974645, 0.923888],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed2_best.controller', '0', '20', [0.135655, 0.973741, 0.923984],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed2_best.controller', '0', '20', [0.0337094, 0.985811, 0.937376],1]
